score,perplexity,parse_ok,repetition,ascii_ratio,code_complexity,tokens,len,lang,path,chunk_id,n_chunks,repo,near_dup,near_dup_simhash,near_dup_minhash,minhash_jaccard,minhash_dup_of,gopher_quality,gopher_flags,hamdist
90.35,9.959,1.0,0.0474,1.0,0.3849,1665,6007,Markdown,README.md,1,3,karpathy/nanochat,False,False,False,0.0,,1.0,"{'min_words': True, 'mean_word_len': True, 'symbol_ratio': True, 'stopword_ratio': True, 'bullet_ratio': True, 'ellipsis_ratio': True}",
88.53,10.728,1.0,0.099,0.9689,0.2715,1792,7205,Markdown,README.md,2,3,karpathy/nanochat,False,False,False,0.0,,1.0,"{'min_words': True, 'mean_word_len': True, 'symbol_ratio': True, 'stopword_ratio': True, 'bullet_ratio': True, 'ellipsis_ratio': True}",6
73.1,15.393,1.0,0.019,0.9983,0.4015,444,1756,Markdown,README.md,3,3,karpathy/nanochat,False,False,False,0.0,,1.0,"{'min_words': True, 'mean_word_len': True, 'symbol_ratio': True, 'stopword_ratio': True, 'bullet_ratio': True, 'ellipsis_ratio': True}",8
91.07,9.203,1.0,0.0353,0.9909,0.4662,2303,8563,Python,dev/gen_synthetic_data.py,1,2,karpathy/nanochat,False,False,False,0.0,,1.0,"{'min_words': True, 'mean_word_len': True, 'symbol_ratio': True, 'stopword_ratio': True, 'bullet_ratio': True, 'ellipsis_ratio': True}",5
75.81,2.909,1.0,0.028,0.9988,0.4367,359,1626,Python,dev/gen_synthetic_data.py,2,2,karpathy/nanochat,False,False,False,0.0,,0.8333,"{'min_words': True, 'mean_word_len': True, 'symbol_ratio': True, 'stopword_ratio': False, 'bullet_ratio': True, 'ellipsis_ratio': True}",8
73.45,2.029,1.0,0.0693,1.0,0.4795,386,1127,Html,dev/generate_logo.html,1,1,karpathy/nanochat,False,False,False,0.0,,0.6667,"{'min_words': True, 'mean_word_len': True, 'symbol_ratio': False, 'stopword_ratio': False, 'bullet_ratio': True, 'ellipsis_ratio': True}",7
77.66,4.836,1.0,0.044,0.9963,0.47,852,3286,Python,dev/repackage_data_reference.py,1,1,karpathy/nanochat,False,False,False,0.0,,0.8333,"{'min_words': True, 'mean_word_len': True, 'symbol_ratio': True, 'stopword_ratio': False, 'bullet_ratio': True, 'ellipsis_ratio': True}",10
54.13,7.76,0.0,0.1088,1.0,0.4574,702,2434,Bash,dev/runcpu.sh,1,1,karpathy/nanochat,False,False,False,0.0,,0.8333,"{'min_words': True, 'mean_word_len': True, 'symbol_ratio': True, 'stopword_ratio': False, 'bullet_ratio': True, 'ellipsis_ratio': True}",5
76.36,2.779,1.0,0.1578,1.0,0.4942,819,3388,Python,nanochat/adamw.py,1,1,karpathy/nanochat,False,False,False,0.0,,0.8333,"{'min_words': True, 'mean_word_len': True, 'symbol_ratio': True, 'stopword_ratio': False, 'bullet_ratio': True, 'ellipsis_ratio': True}",13
80.45,2.808,1.0,0.1648,1.0,0.4286,1533,6417,Python,nanochat/checkpoint_manager.py,1,1,karpathy/nanochat,False,False,False,0.0,,0.8333,"{'min_words': True, 'mean_word_len': True, 'symbol_ratio': True, 'stopword_ratio': False, 'bullet_ratio': True, 'ellipsis_ratio': True}",8
81.9,2.762,1.0,0.1121,0.9448,0.4556,1889,7089,Python,nanochat/common.py,1,1,karpathy/nanochat,False,False,False,0.0,,0.6667,"{'min_words': True, 'mean_word_len': True, 'symbol_ratio': False, 'stopword_ratio': False, 'bullet_ratio': True, 'ellipsis_ratio': True}",10
76.53,5.69,1.0,0.0479,1.0,0.4731,478,2081,Python,nanochat/configurator.py,1,1,karpathy/nanochat,False,False,False,0.0,,1.0,"{'min_words': True, 'mean_word_len': True, 'symbol_ratio': True, 'stopword_ratio': True, 'bullet_ratio': True, 'ellipsis_ratio': True}",8
60.47,3.405,0.0,0.237,1.0,0.4275,1554,6886,Python,nanochat/core_eval.py,1,2,karpathy/nanochat,False,False,False,0.0,,1.0,"{'min_words': True, 'mean_word_len': True, 'symbol_ratio': True, 'stopword_ratio': True, 'bullet_ratio': True, 'ellipsis_ratio': True}",9
57.68,3.082,0.0,0.1627,1.0,0.4019,1122,4846,Python,nanochat/core_eval.py,2,2,karpathy/nanochat,False,False,False,0.0,,0.8333,"{'min_words': True, 'mean_word_len': True, 'symbol_ratio': True, 'stopword_ratio': False, 'bullet_ratio': True, 'ellipsis_ratio': True}",9
75.07,5.545,1.0,0.054,1.0,0.3644,577,2534,Python,nanochat/dataloader.py,1,1,karpathy/nanochat,False,False,False,0.0,,0.8333,"{'min_words': True, 'mean_word_len': True, 'symbol_ratio': True, 'stopword_ratio': False, 'bullet_ratio': True, 'ellipsis_ratio': True}",6
77.97,3.519,1.0,0.0828,1.0,0.4457,1195,5390,Python,nanochat/dataset.py,1,1,karpathy/nanochat,False,False,False,0.0,,0.6667,"{'min_words': True, 'mean_word_len': True, 'symbol_ratio': False, 'stopword_ratio': False, 'bullet_ratio': True, 'ellipsis_ratio': True}",6
80.49,3.798,1.0,0.135,1.0,0.4453,1523,6401,Python,nanochat/engine.py,1,3,karpathy/nanochat,False,False,False,0.1328,82513fde798953dc8a08437bc448ac105f12af5e279e919f36a44bc3cb38242e,0.8333,"{'min_words': True, 'mean_word_len': True, 'symbol_ratio': True, 'stopword_ratio': False, 'bullet_ratio': True, 'ellipsis_ratio': True}",5
60.78,3.319,0.0,0.2123,1.0,0.4219,1787,8473,Python,nanochat/engine.py,2,3,karpathy/nanochat,False,False,False,0.0,,0.8333,"{'min_words': True, 'mean_word_len': True, 'symbol_ratio': True, 'stopword_ratio': False, 'bullet_ratio': True, 'ellipsis_ratio': True}",8
53.18,4.256,0.0,0.162,1.0,0.4691,465,1973,Python,nanochat/engine.py,3,3,karpathy/nanochat,False,False,False,0.0,,0.8333,"{'min_words': True, 'mean_word_len': True, 'symbol_ratio': True, 'stopword_ratio': False, 'bullet_ratio': True, 'ellipsis_ratio': True}",8
62.19,3.575,0.0,0.1581,1.0,0.4718,1835,8535,Python,nanochat/execution.py,1,2,karpathy/nanochat,False,False,False,0.0,,0.8333,"{'min_words': True, 'mean_word_len': True, 'symbol_ratio': True, 'stopword_ratio': False, 'bullet_ratio': True, 'ellipsis_ratio': True}",8
54.12,2.24,0.0,0.1492,1.0,0.5137,371,1772,Python,nanochat/execution.py,2,2,karpathy/nanochat,False,False,False,0.0,,0.8333,"{'min_words': True, 'mean_word_len': True, 'symbol_ratio': True, 'stopword_ratio': False, 'bullet_ratio': True, 'ellipsis_ratio': True}",7
60.81,3.059,0.0,0.146,1.0,0.4382,1548,5613,Python,nanochat/gpt.py,1,2,karpathy/nanochat,False,False,False,0.0,,0.8333,"{'min_words': True, 'mean_word_len': True, 'symbol_ratio': True, 'stopword_ratio': False, 'bullet_ratio': True, 'ellipsis_ratio': True}",5
20.95,3.53,0.0,0.1294,0.9996,0.406,2279,9299,Python,nanochat/gpt.py,2,2,karpathy/nanochat,True,True,False,0.0,,0.8333,"{'min_words': True, 'mean_word_len': True, 'symbol_ratio': True, 'stopword_ratio': False, 'bullet_ratio': True, 'ellipsis_ratio': True}",1
77.87,5.192,1.0,0.0753,1.0,0.3847,789,3125,Python,nanochat/loss_eval.py,1,1,karpathy/nanochat,False,False,False,0.0,,1.0,"{'min_words': True, 'mean_word_len': True, 'symbol_ratio': True, 'stopword_ratio': True, 'bullet_ratio': True, 'ellipsis_ratio': True}",6
89.43,4.881,1.0,0.1964,0.9998,0.3892,2320,9614,Python,nanochat/muon.py,1,1,karpathy/nanochat,False,False,False,0.0,,1.0,"{'min_words': True, 'mean_word_len': True, 'symbol_ratio': True, 'stopword_ratio': True, 'bullet_ratio': True, 'ellipsis_ratio': True}",9
87.98,2.962,1.0,0.1692,1.0,0.4898,3474,15156,Python,nanochat/report.py,1,1,karpathy/nanochat,False,False,False,0.0,,0.6667,"{'min_words': True, 'mean_word_len': True, 'symbol_ratio': False, 'stopword_ratio': False, 'bullet_ratio': True, 'ellipsis_ratio': True}",6
87.49,3.745,1.0,0.2475,1.0,0.4414,3934,17758,Python,nanochat/tokenizer.py,1,1,karpathy/nanochat,False,False,False,0.0,,0.8333,"{'min_words': True, 'mean_word_len': True, 'symbol_ratio': True, 'stopword_ratio': False, 'bullet_ratio': True, 'ellipsis_ratio': True}",3
60.36,1.78,1.0,0.4229,0.9998,0.5134,3891,19062,Html,nanochat/ui.html,1,1,karpathy/nanochat,False,False,False,0.0,,0.8333,"{'min_words': True, 'mean_word_len': True, 'symbol_ratio': True, 'stopword_ratio': False, 'bullet_ratio': True, 'ellipsis_ratio': True}",6
56.96,4.487,0.0,0.0797,1.0,0.5545,535,1509,Toml,pyproject.toml,1,1,karpathy/nanochat,False,False,False,0.0,,0.6667,"{'min_words': True, 'mean_word_len': True, 'symbol_ratio': False, 'stopword_ratio': False, 'bullet_ratio': True, 'ellipsis_ratio': True}",9
60.38,7.156,0.0,0.1088,1.0,0.3317,1464,4748,Bash,run1000.sh,1,1,karpathy/nanochat,False,False,False,0.0,,1.0,"{'min_words': True, 'mean_word_len': True, 'symbol_ratio': True, 'stopword_ratio': True, 'bullet_ratio': True, 'ellipsis_ratio': True}",6
36.22,,0.0,0.3965,1.0,0.4293,4574,12052,Lock,rustbpe/Cargo.lock,1,1,karpathy/nanochat,False,False,False,0.0,,0.6667,"{'min_words': True, 'mean_word_len': True, 'symbol_ratio': False, 'stopword_ratio': False, 'bullet_ratio': True, 'ellipsis_ratio': True}",10
52.84,5.59,0.0,0.0,1.0,0.5115,129,290,Toml,rustbpe/Cargo.toml,1,1,karpathy/nanochat,False,False,False,0.0,,0.5,"{'min_words': False, 'mean_word_len': True, 'symbol_ratio': False, 'stopword_ratio': False, 'bullet_ratio': True, 'ellipsis_ratio': True}",8
71.06,15.047,1.0,0.0105,1.0,0.4191,255,1154,Markdown,rustbpe/README.md,1,1,karpathy/nanochat,False,False,False,0.0,,1.0,"{'min_words': True, 'mean_word_len': True, 'symbol_ratio': True, 'stopword_ratio': True, 'bullet_ratio': True, 'ellipsis_ratio': True}",8
68.87,2.896,0.0,0.2125,1.0,0.5062,3827,16627,Rust,rustbpe/src/lib.rs,1,1,karpathy/nanochat,False,False,False,0.0,,0.8333,"{'min_words': True, 'mean_word_len': True, 'symbol_ratio': True, 'stopword_ratio': False, 'bullet_ratio': True, 'ellipsis_ratio': True}",8
88.93,3.029,1.0,0.1157,1.0,0.465,2009,8406,Python,scripts/base_eval.py,1,1,karpathy/nanochat,False,False,False,0.0,,0.6667,"{'min_words': True, 'mean_word_len': True, 'symbol_ratio': False, 'stopword_ratio': False, 'bullet_ratio': True, 'ellipsis_ratio': True}",6
77.01,5.323,1.0,0.0347,1.0,0.4317,773,3153,Python,scripts/base_loss.py,1,1,karpathy/nanochat,False,False,False,0.0,,0.8333,"{'min_words': True, 'mean_word_len': True, 'symbol_ratio': True, 'stopword_ratio': False, 'bullet_ratio': True, 'ellipsis_ratio': True}",6
79.7,5.309,1.0,0.1519,1.0,0.3992,4138,16850,Python,scripts/base_train.py,1,1,karpathy/nanochat,False,False,False,0.0,,0.6667,"{'min_words': True, 'mean_word_len': True, 'symbol_ratio': False, 'stopword_ratio': False, 'bullet_ratio': True, 'ellipsis_ratio': True}",5
77.79,3.74,1.0,0.1014,1.0,0.4284,987,4296,Python,scripts/chat_cli.py,1,1,karpathy/nanochat,False,False,False,0.1094,362bb7730c230702140bb093ee2e88c41cbe2a4298a895759ef436859d8ccee4,0.8333,"{'min_words': True, 'mean_word_len': True, 'symbol_ratio': True, 'stopword_ratio': False, 'bullet_ratio': True, 'ellipsis_ratio': True}",5
88.5,3.64,1.0,0.1947,1.0,0.4103,2901,12390,Python,scripts/chat_eval.py,1,1,karpathy/nanochat,False,False,False,0.0,,0.8333,"{'min_words': True, 'mean_word_len': True, 'symbol_ratio': True, 'stopword_ratio': False, 'bullet_ratio': True, 'ellipsis_ratio': True}",5
88.22,6.67,1.0,0.1333,0.9999,0.393,3632,15832,Python,scripts/chat_rl.py,1,1,karpathy/nanochat,False,False,False,0.1641,362bb7730c230702140bb093ee2e88c41cbe2a4298a895759ef436859d8ccee4,0.8333,"{'min_words': True, 'mean_word_len': True, 'symbol_ratio': True, 'stopword_ratio': False, 'bullet_ratio': True, 'ellipsis_ratio': True}",2
26.27,4.909,1.0,0.1302,0.9999,0.44,2943,12005,Python,scripts/chat_sft.py,1,1,karpathy/nanochat,True,True,False,0.0,,0.6667,"{'min_words': True, 'mean_word_len': True, 'symbol_ratio': False, 'stopword_ratio': False, 'bullet_ratio': True, 'ellipsis_ratio': True}",1
70.28,2.427,0.0,0.1471,1.0,0.4537,2227,9566,Python,scripts/chat_web.py,1,2,karpathy/nanochat,False,False,False,0.2656,45da2566846a0907d6c2126fb4916ff37a1b5c69e030e8bfe272a4db0ed31c3a,0.8333,"{'min_words': True, 'mean_word_len': True, 'symbol_ratio': True, 'stopword_ratio': False, 'bullet_ratio': True, 'ellipsis_ratio': True}",4
78.83,3.141,1.0,0.1678,0.9998,0.4689,1293,6481,Python,scripts/chat_web.py,2,2,karpathy/nanochat,False,False,False,0.0,,0.8333,"{'min_words': True, 'mean_word_len': True, 'symbol_ratio': True, 'stopword_ratio': False, 'bullet_ratio': True, 'ellipsis_ratio': True}",4
88.93,5.338,1.0,0.1305,1.0,0.4093,3709,14833,Python,scripts/mid_train.py,1,1,karpathy/nanochat,False,False,False,0.5469,249b8682d77527641bbffc78f041443b7920647e795739d412a99bf068bd219a,0.8333,"{'min_words': True, 'mean_word_len': True, 'symbol_ratio': True, 'stopword_ratio': False, 'bullet_ratio': True, 'ellipsis_ratio': True}",2
88.49,4.465,1.0,0.0962,0.9767,0.48,3491,11737,Python,scripts/tok_eval.py,1,1,karpathy/nanochat,False,False,False,0.0,,0.6667,"{'min_words': True, 'mean_word_len': True, 'symbol_ratio': False, 'stopword_ratio': False, 'bullet_ratio': True, 'ellipsis_ratio': True}",5
75.3,3.578,1.0,0.1442,0.9988,0.4861,948,4310,Python,scripts/tok_train.py,1,1,karpathy/nanochat,False,False,False,0.0,,0.6667,"{'min_words': True, 'mean_word_len': True, 'symbol_ratio': False, 'stopword_ratio': False, 'bullet_ratio': True, 'ellipsis_ratio': True}",4
57.09,7.312,0.0,0.2012,1.0,0.3642,1494,6009,Bash,speedrun.sh,1,1,karpathy/nanochat,False,False,False,0.0,,0.8333,"{'min_words': True, 'mean_word_len': True, 'symbol_ratio': False, 'stopword_ratio': True, 'bullet_ratio': True, 'ellipsis_ratio': True}",2
75.97,4.261,1.0,0.0269,1.0,0.4297,500,2171,Python,tasks/arc.py,1,1,karpathy/nanochat,False,False,False,0.0,,0.8333,"{'min_words': True, 'mean_word_len': True, 'symbol_ratio': True, 'stopword_ratio': False, 'bullet_ratio': True, 'ellipsis_ratio': True}",6
78.53,4.123,1.0,0.1513,1.0,0.4346,1294,5535,Python,tasks/common.py,1,1,karpathy/nanochat,False,False,False,0.0,,0.8333,"{'min_words': True, 'mean_word_len': True, 'symbol_ratio': True, 'stopword_ratio': False, 'bullet_ratio': True, 'ellipsis_ratio': True}",4
77.01,3.125,1.0,0.1205,1.0,0.4216,607,2920,Python,tasks/customjson.py,1,1,karpathy/nanochat,False,False,False,0.0,,1.0,"{'min_words': True, 'mean_word_len': True, 'symbol_ratio': True, 'stopword_ratio': True, 'bullet_ratio': True, 'ellipsis_ratio': True}",4
77.84,4.984,1.0,0.1023,1.0,0.4328,1097,4872,Python,tasks/gsm8k.py,1,1,karpathy/nanochat,False,False,False,0.1953,da2841dc55964ee7f4a0bb619ce12e3d75d9224aeec31bae9eb4b9e5a4d5a786,0.8333,"{'min_words': True, 'mean_word_len': True, 'symbol_ratio': True, 'stopword_ratio': False, 'bullet_ratio': True, 'ellipsis_ratio': True}",6
77.2,4.217,1.0,0.0438,1.0,0.4699,726,3419,Python,tasks/humaneval.py,1,1,karpathy/nanochat,False,False,False,0.0,,0.8333,"{'min_words': True, 'mean_word_len': True, 'symbol_ratio': True, 'stopword_ratio': False, 'bullet_ratio': True, 'ellipsis_ratio': True}",8
78.71,3.316,1.0,0.0493,1.0,0.405,943,3934,Python,tasks/mmlu.py,1,1,karpathy/nanochat,False,False,False,0.0,,0.8333,"{'min_words': True, 'mean_word_len': True, 'symbol_ratio': True, 'stopword_ratio': False, 'bullet_ratio': True, 'ellipsis_ratio': True}",3
72.37,4.757,1.0,0.0932,1.0,0.4208,448,2077,Python,tasks/smoltalk.py,1,1,karpathy/nanochat,False,False,False,0.0,,0.6667,"{'min_words': True, 'mean_word_len': True, 'symbol_ratio': False, 'stopword_ratio': False, 'bullet_ratio': True, 'ellipsis_ratio': True}",3
71.22,4.334,0.0,0.1268,0.9915,0.4421,2415,9621,Python,tasks/spellingbee.py,1,2,karpathy/nanochat,False,False,False,0.0,,1.0,"{'min_words': True, 'mean_word_len': True, 'symbol_ratio': True, 'stopword_ratio': True, 'bullet_ratio': True, 'ellipsis_ratio': True}",4
54.31,3.648,0.0,0.1002,1.0,0.5044,645,2660,Python,tasks/spellingbee.py,2,2,karpathy/nanochat,False,False,False,0.2578,e78f6ac993e98f8050c9d92cc73bac3c511cfb67fcf61b2fafe9cebaaefdbf79,0.6667,"{'min_words': True, 'mean_word_len': True, 'symbol_ratio': False, 'stopword_ratio': False, 'bullet_ratio': True, 'ellipsis_ratio': True}",5
74.78,2.689,1.0,0.1833,1.0,0.4257,675,2760,Python,tests/test_engine.py,1,1,karpathy/nanochat,False,False,False,0.0,,0.8333,"{'min_words': True, 'mean_word_len': True, 'symbol_ratio': True, 'stopword_ratio': False, 'bullet_ratio': True, 'ellipsis_ratio': True}",8
64.31,4.038,0.0,0.1171,1.0,0.4644,1820,7378,Python,tests/test_rustbpe.py,1,3,karpathy/nanochat,False,False,False,0.0,,1.0,"{'min_words': True, 'mean_word_len': True, 'symbol_ratio': True, 'stopword_ratio': True, 'bullet_ratio': True, 'ellipsis_ratio': True}",6
69.14,3.688,0.0,0.1741,1.0,0.4868,2385,11186,Python,tests/test_rustbpe.py,2,3,karpathy/nanochat,False,False,False,0.2578,da2841dc55964ee7f4a0bb619ce12e3d75d9224aeec31bae9eb4b9e5a4d5a786,0.8333,"{'min_words': True, 'mean_word_len': True, 'symbol_ratio': True, 'stopword_ratio': False, 'bullet_ratio': True, 'ellipsis_ratio': True}",3
81.93,2.455,1.0,0.2366,0.9982,0.4192,1973,7865,Python,tests/test_rustbpe.py,3,3,karpathy/nanochat,False,False,False,0.0,,0.8333,"{'min_words': True, 'mean_word_len': True, 'symbol_ratio': True, 'stopword_ratio': False, 'bullet_ratio': True, 'ellipsis_ratio': True}",5
31.07,,0.0,0.4455,1.0,0.243,195525,422540,Lock,uv.lock,1,1,karpathy/nanochat,False,False,False,0.0,,0.6667,"{'min_words': True, 'mean_word_len': False, 'symbol_ratio': True, 'stopword_ratio': False, 'bullet_ratio': True, 'ellipsis_ratio': True}",5
